sensor,true_distance_mm,sample_id,reading_mm
Right,100,1,101.7
Right,100,2,99.5
Right,100,3,103.4
Right,100,4,102.7
Right,100,5,105.9
Right,100,6,103.4
Right,100,7,100.8
Right,100,8,99.1
Right,100,9,104.1
Right,100,10,102.0
Right,100,11,102.5
Right,100,12,101.3
Right,100,13,98.2
Right,100,14,104.7
Right,100,15,103.8
Right,100,16,103.2
Right,100,17,104.2
Right,100,18,99.9
Right,100,19,107.1
Right,100,20,102.0
Right,100,21,103.5
Right,100,22,104.4
Right,100,23,96.5
Right,100,24,106.4
Right,100,25,102.8
Right,100,26,98.9
Right,100,27,101.9
Right,100,28,108.8
Right,100,29,102.1
Right,100,30,99.5
Right,100,31,102.3
Right,100,32,103.5
Right,100,33,101.3
Right,100,34,101.3
Right,100,35,105.3
Right,100,36,104.6
Right,100,37,102.7
Right,100,38,102.5
Right,100,39,103.0
Right,100,40,101.7
Right,100,41,102.7
Right,100,42,103.0
Right,100,43,106.0
Right,100,44,100.1
Right,100,45,104.8
Right,100,46,106.4
Right,100,47,100.8
Right,100,48,103.1
Right,100,49,103.2
Right,100,50,102.3
Right,100,51,101.6
Right,100,52,100.4
Right,100,53,97.7
Right,100,54,104.0
Right,100,55,95.3
Right,100,56,103.8
Right,100,57,104.7
Right,100,58,100.4
Right,100,59,103.9
Right,100,60,104.3
Right,100,61,104.3
Right,100,62,101.7
Right,100,63,103.5
Right,100,64,103.1
Right,100,65,100.9
Right,100,66,101.5
Right,100,67,104.1
Right,100,68,101.5
Right,100,69,103.7
Right,100,70,102.9
Right,100,71,102.2
Right,100,72,102.9
Right,100,73,103.4
Right,100,74,102.8
Right,100,75,103.1
Right,100,76,104.2
Right,100,77,102.3
Right,100,78,103.2
Right,100,79,102.3
Right,100,80,103.6
Right,100,81,102.4
Right,100,82,104.3
Right,100,83,105.2
Right,100,84,99.6
Right,100,85,105.8
Right,100,86,105.4
Right,100,87,100.9
Right,100,88,108.1
Right,100,89,103.2
Right,100,90,103.9
Right,100,91,106.5
Right,100,92,101.3
Right,100,93,100.2
Right,100,94,102.0
Right,100,95,103.1
Right,100,96,103.6
Right,100,97,104.3
