timestamp,vo_x,vo_y,vo_z,enc_x,enc_y,enc_theta
1.823,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.867,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.908,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.947,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.989,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.032,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.074,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.113,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.154,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.197,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.240,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.282,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.323,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.364,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.406,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.449,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.491,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.533,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.573,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.613,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.658,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.701,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.744,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.786,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.826,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.867,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.910,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.953,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.996,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.040,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.084,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.126,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.170,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.214,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.256,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.342,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.386,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.428,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.471,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.514,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.557,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.644,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.687,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.731,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.774,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.817,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.860,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.904,0.0000,0.0000,0.0000,0.0015,0.0000,0.0001
3.948,0.0000,0.0000,0.0000,0.0074,0.0007,0.0006
3.991,0.0000,0.0000,0.0000,0.0156,0.0010,0.0007
4.034,0.0000,0.0000,0.0000,0.0251,0.0008,0.0005
4.074,0.0000,0.0000,0.0000,0.0362,0.0008,0.0009
4.112,0.0000,0.0000,0.0000,0.0483,-0.0000,0.0017
4.151,0.0000,0.0000,0.0000,0.0609,-0.0009,0.0027
4.191,0.0000,0.0000,0.0000,0.0739,-0.0010,0.0033
4.229,0.0000,0.0000,0.0000,0.0872,-0.0014,0.0038
4.271,0.0000,0.0000,0.0000,0.1004,-0.0019,0.0033
4.312,0.0000,0.0000,0.0000,0.1142,-0.0022,0.0057
4.352,0.0000,0.0000,0.0000,0.1277,-0.0027,0.0069
4.391,0.0000,0.0000,0.0000,0.1405,-0.0040,0.0066
4.431,0.0000,0.0000,0.0000,0.1534,-0.0058,0.0065
4.476,0.0000,0.0000,0.0000,0.1662,-0.0069,0.0057
4.516,0.0000,0.0000,0.0000,0.1791,-0.0076,0.0071
4.557,0.9312,-0.2270,-0.2853,0.1922,-0.0082,0.0087
4.602,0.9312,-0.2270,-0.2853,0.2116,-0.0094,0.0096
4.642,0.9312,-0.2270,-0.2853,0.2250,-0.0095,0.0103
4.681,0.9312,-0.2270,-0.2853,0.2383,-0.0093,0.0088
4.722,0.9312,-0.2270,-0.2853,0.2512,-0.0094,0.0106
4.766,1.6126,-0.9570,-0.3370,0.2643,-0.0093,0.0123
4.808,1.6126,-0.9570,-0.3370,0.2772,-0.0092,0.0125
